Sheet: Cost ($)
Accounts,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,Total
scdhhs-onbase-upper,72567.04451690223,75722.12925845594,79282.78787584158,82580.66780917758,94506.98139612513,100092.5773987042,82297.22931776926,86419.83068287218,90443.82962280366,89802.96525899722,91600.98471769928,90651.20022834264,11177.621532377945,1047145.8496160686
scdhhs-mes-upper,39755.00794983188,39616.22934510087,41564.472272811596,38015.225012983115,39610.69257915359,38926.923346435804,36667.931582084755,40640.13545437569,52785.7928174311,48492.12795807258,45394.86855085818,43488.76692310432,5839.378518175906,510797.5523104194
scdhhs-eps-lower,18023.92258537043,16098.799787213158,14985.86624217323,16753.762783164653,17573.67032859624,17584.781514706436,15775.923555246005,15621.491272171195,14438.029256823482,12599.227331744753,12197.258482182842,12683.78023835208,2584.2683547223205,186920.7817324668
scdhhs-eps-upper,12077.249369426761,10077.044427970673,9918.252571281844,10456.656717808743,11076.865756395242,11056.169675084511,10553.798041367518,11391.50439635568,11202.098637571798,9385.827527929918,13030.607101988753,13460.737015055993,1787.8747865084408,135474.68602474587
scdhhs-mes-lower,10515.587595578008,9708.9475823885,9971.245417040805,10263.8571923098,10866.226312771807,11640.934793522198,10400.922021394403,10590.274147919705,10702.420190852406,10375.8892244678,9354.476800410303,10356.180779932101,1340.6950629399007,126087.65712152772
scdhhs-onbase-lower,13180.211143603437,13018.791465652186,13653.971884627328,13427.198524940442,14054.599024914573,12573.283860944779,6227.3875135591015,6950.679388101853,6095.935114021692,5944.557535641476,6167.597644481401,5957.893212297229,1426.1189316762002,118678.2252444617
scdhhs-mes-networking,6761.238219636,6536.255719821301,6718.318122616602,6915.669708895091,7784.6076573874,8338.3957793691,8246.7284670595,8438.7621013277,8422.076393229494,6556.959861489102,6967.0124484783,7254.537268534796,2471.666436297799,91412.22818414221
scdhhs-mes-audit,4023.647377730499,3987.3413688925984,4142.433904739501,5215.645627979154,5495.5896535781985,5572.355907324199,5306.347476631999,5364.884839023699,5262.8981619812985,5003.582706119099,5298.406523140002,5844.956853767706,965.0766877129995,61483.16708862095
scdhhs-mes-shared,1714.3774297263008,1688.4132864645,1758.240788815501,1717.0113959803011,1901.4912778719008,2370.2368793826,2176.8051819548004,1776.2893954487008,1799.522689537,1680.7174306278007,1951.885654046301,1955.228029337701,448.6340430465998,22938.853482240007
scdhhs-mes-upper-edi,5569.559963956197,5390.059481069097,4409.5669482389,4.7565808447399975,5.155065100799999,5.147857075999999,5.037336993599999,4.127560264200001,3.1458912028,2.9242508264999993,3.1512439835999997,2.9951489645999994,0.5292803641,15406.156608885134
scdhhs-cbs-sandbox,600.9778804614002,581.8870106612401,601.3863638164801,583.0122686243582,581.6871732547202,601.0741126409999,680.2315589509201,869.87273117316,869.8582809854399,786.0102615260402,877.16569046112,849.2048393092799,108.58351686767999,8590.95168873284
scdhhs-mes-bastion,39.808738167900025,56.5806614227,62.69938564309997,64.90783343962603,64.85141969530001,65.88911667060002,64.39222209069999,60.185715049500025,57.707878564699996,52.7197180171,56.8427702672,56.681409458299996,23.143336282500005,726.4102047692261
scdhhs-mes-upper-fhir,56.03057612190001,52.5663798405,53.478482191299996,53.372799800221,53.66248122849997,53.05471253020001,54.914376830700014,51.48602871889997,49.77830529579998,48.20972454979998,41.04564628670001,5.373653986499999,0.7962047339,573.769372114921
mes-aws-sharedservices,74.26484843710004,72.21353764000001,76.39418591170002,46.069476426972,37.0240995681,38.204178651199996,37.07424522159999,38.254328908100014,38.254866870899995,34.553340247700014,38.255386522299965,37.014304808399984,4.681243793999996,572.258043008072
scdhhs-mes-lower-fhir,14.146010024900002,13.864163204400002,13.990479657100005,13.391319500558009,13.6520261809,13.6240101829,13.583189519499996,12.4547446216,11.501251809399994,11.45044473,13.134084974299999,1.8652580727999999,0.3421341058000001,146.999116584158
scdhhs-mes-lower-edi,6.708703081700001,6.944343780400004,6.8692442895,6.620918683586001,7.049144352200002,7.020380683000001,6.896195979800002,5.906457452699998,5.925142863999999,5.8158298782,5.880616079699999,4.9235534806000025,0.6143436907000001,77.17487429608602
MES_AWS_PRD,0.016735944799999996,0.015349838800000003,0.015853748099999995,0.015847201564000005,0.0160728354,0.016351523500000003,0.015947774900000003,0.0161989394,0.016691224100000006,0.014964401599999998,0.017273833300000006,0.0158077333,0.0014318939000000001,0.19452689266400006
Total,184979.79964400147,182628.08316941682,187219.99002344417,186117.84181776055,203633.82146901006,208939.68987543226,178515.21823042908,188236.15544272395,202188.79119306905,190783.55336926665,192998.59063569352,192611.35452453833,28180.02584519069,2327032.9152399786

